"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2025","104.97","105.38","105.92","105.00","","-0.35%"
"01/30/2025","105.34","104.18","105.73","104.17","","1.14%"
"01/29/2025","104.15","103.98","104.38","103.80","","0.17%"
"01/28/2025","103.97","104.67","104.69","103.68","","-0.64%"
"01/27/2025","104.64","103.86","105.21","103.50","","0.97%"
"01/24/2025","103.63","104.32","104.57","103.29","","-0.63%"
"01/23/2025","104.29","104.06","104.54","103.66","","0.28%"
"01/22/2025","104.00","105.04","105.15","103.92","","-0.93%"
"01/21/2025","104.98","105.14","105.62","104.67","","-0.11%"
"01/20/2025","105.10","104.69","105.28","104.50","","0.42%"
"01/17/2025","104.66","105.44","105.57","104.65","","-0.70%"
"01/16/2025","105.40","104.29","105.48","104.25","","1.09%"
"01/15/2025","104.26","102.96","104.65","102.88","","1.31%"
"01/14/2025","102.91","103.35","103.59","102.80","","-0.39%"
"01/13/2025","103.31","102.58","103.72","102.45","","0.70%"
"01/10/2025","102.59","102.46","102.95","101.87","","0.19%"
"01/09/2025","102.40","102.28","102.96","102.24","","0.16%"
"01/08/2025","102.24","102.06","102.65","101.93","","0.23%"
"01/07/2025","102.01","102.75","102.76","101.81","","-0.67%"
"01/06/2025","102.70","102.96","103.66","102.51","","-0.18%"
"01/03/2025","102.89","102.79","103.31","102.77","","0.12%"
"01/02/2025","102.77","102.35","103.64","102.01","","0.20%"
"01/01/2025","102.56","102.39","102.61","102.36","","0.21%"